uuid,nome,cliente,regiao,status
0f76c9e9-e7a7-4fc9-8452-72ca78393d61,ACADEMIA GAVIÕES ATIBAIA,ACADEMIA GAVIÕES ATIBAIA,INTERIOR,ativo
3545e41b-2bb6-4d31-8a12-7a58862dde86,ACADEMIA GAVIÕES CAMPINAS,ACADEMIA GAVIÕES CAMPINAS,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
25190b19-2fbd-40bd-a868-712d5fb7c57d,ACADEMIA GAVIÕES JARAGUÁ,ACADEMIA GAVIÕES JARAGUÁ,ZONA NORTE,ativo
17cd2209-16da-476b-810c-7ab6ce654853,ACADEMIA GAVIÕES PIRITUBA,ACADEMIA GAVIÕES ATIBAIA,ZONA NORTE,ativo
86ee19e9-689a-4a35-9167-6b434a3ab0d6,ACADEMIA GIGA HOUSE,ACADEMIA GIGA HOUSE,ZONA SUL,ativo
5edac036-e61f-4f49-83ce-019e53f76806,ACADEMIA SKYFIT,ACADEMIA SKY FIT,ZONA NORTE,ativo
1645ab52-7385-4f26-9ea6-7dba1abe3fae,AIR CAMPO BELO,Condominio Air Campo Belo,POSTOS DA GAP,inativo
8e26a91a-2046-be70-46fd-4e5543dea62d,ALTA VISTA,Condominio Alta Vista 1,POSTOS DA GAP,inativo
5eb27aaf-315a-41a7-b011-829d2eb2a860,ARAUTOS DO EVANGELHO,ARAUTOS DO EVANGELHO,POSTOS DA GAP,inativo
25ccd5e1-ef01-3b3b-5e6f-10ba11e9396e,ARTE PALACIO,Arte Palacio,POSTOS DA GAP,inativo
914ad006-5400-486c-aa2d-1883ee2cfd0b,ARTE PALACIO - ENCOMENDAS,Arte Palacio,sul,inativo
78dd8fee-06ad-42e6-baa8-83970998831a,Acqua Vita Nova Mooca,CONDOMÍNIO ACQUA VITA NOVA MOOCA,POSTOS DA GAP,inativo
89eef3a9-9300-86f3-ec16-46b55c0b38de,Alpes dos Ypes,Alpes dos Ypes,POSTOS DA GAP,inativo
33f8bb81-df74-1685-0f22-ae1390e87c34,Amedeo Modigliani,Amedeo Modigliani,POSTOS DA GAP,inativo
616fa9da-0917-4439-9cdf-9174a7859bc5,Andar 02,Mirante,POSTOS DA GAP,inativo
74c30ebb-8417-7ce6-bfb4-8d2f2921bbd5,Arautos - Franco da Rocha,Arautos 9,FRANCO DA ROCHA,inativo
b64da02b-4b01-e4fd-7896-3b204a8718bd,Arautos - Franco da Rocha 2,Arautos 7,FRANCO DA ROCHA,inativo
c4d4c3a5-df62-b17f-b8d5-8c66f35c6c71,Arautos - Franco da Rocha 3,Arautos 8,FRANCO DA ROCHA,inativo
17135162-04ac-464b-91cb-d40ae535b580,Atacadão Teste - Paulista,Atacadão - Teste,ZONA OESTE,ativo
d3591870-5d70-4cc0-89cc-9ab071d653c2,BASE - TESTE,BASE__TESTE,ZONA SUL,inativo
b517faac-9e9a-448a-a8e0-8c100ba33f08,BASE GAP,Base GAP,ZONA SUL,ativo
365e3010-dbac-4e58-bed7-f41bacb252cd,BASE MORUMBI,Base GAP,POSTOS DA GAP,inativo
d4dc73a4-9524-4cb6-8dce-a7c527ba0e0c,BASE TESTE,Base GAP,POSTOS DA GAP,inativo
a389e99f-e3ce-4a4a-bfd7-bbb773fac825,BOUTIQUE OFFICES,COND. ED BOUTIQUE OFFICES,ZONA OESTE,ativo
d91e2f07-7da3-4576-be9b-bc2391610748,By Canopy Hilton,By Canopy Hilton,POSTOS DA GAP,inativo
66646ae9-0d16-4cc7-9994-584c0c4a79aa,C CONSORCIEI,C CONSORCIEI,ZONA OESTE,ativo
939ad373-4cf0-42f1-8db9-0388629c0803,CANADÁ,Condomínio Canadá,CENTRO,ativo
c9166121-46a5-4070-95a7-1be8d5098eb5,CINTERPLAS,Cinterplas Supervisão,MAIRIPORÃ,inativo
77e0ea44-1a8b-d407-0707-ea35636fc9b1,CLUBE DE CAMPO - MAIRIPORÃ,Clube de Campo,INTERIOR,ativo
e08c488f-b1be-cd93-2112-60a8d04686b1,COLUMBIA,Columbia,REGIÃO PADRÃO,inativo
4d03cd85-aaef-4352-b156-add04a61c18d,COMERCIAL CASA DAS CALDEIRAS,Comercial Casa das Caldeiras,ZONA OESTE,ativo
348066e9-f086-4fa6-8c53-520886a2eeda,CONDOMINIO ATEMPORAL,CONDOMINIO ATEMPORAL,ZONA OESTE,ativo
377cd930-ced0-45af-bf83-3faf1e2ea56c,CONDOMINIO ED PARQUE DO MORUMBI,CONDOMINIO ED PARQUE DO MORUMBI,POSTOS DA GAP,inativo
7ca0449e-5f30-45b7-985b-233c47f0a5aa,CONDOMINIO LE CORBUSIER,CONDOMINIO LE CORBUSIER,ZONA SUL,ativo
5ab4931d-7c3d-40f0-a5d2-a4bb7d6c8fc2,CONDOMINIO MARC CHAGALL,CONDOMINIO MARC CHAGALL,POSTOS DA GAP,inativo
36f8f6b7-7340-442e-a71e-c00492940d4a,CONDOMINIO RESIDENCIAL DEZ CANINDÉ,CONDOMINIO RESIDENCIAL DEZ CANINDE,ZONA NORTE,ativo
77f38793-733c-4477-80e6-8eaeec119204,CONDOMINIO VIVEIRO MARILIA VOGT,CONDOMINIO VIVEIRO MARILIA VOGT,ZONA OESTE,ativo
ec4566fb-d5f0-466d-ba4f-91d4c8157ffd,CONDOMINO INHAMBU I,CONDOMINO ED INHAMBU I,POSTOS DA GAP,inativo
3a2e15fe-0587-4516-afda-e935c9fa4ef8,CONDOMÍNIO ACQUA VITA NOVA MOOCA,CONDOMÍNIO ACQUA VITA NOVA MOOCA,ZONA LESTE,ativo
2b673a09-8511-4dd7-9ed5-bfaa5bb0aab4,CONDOMÍNIO ALBAR,Condomínio Edifício Albar,CENTRO,ativo
6a71b26b-9a8b-4ae4-aa13-51f93b886ecc,CONDOMÍNIO ALTA VISTA,Condomínio Alta vista,ZONA LESTE,ativo
5db33317-d88a-4fda-afc4-db0661b4e81c,CONDOMÍNIO ATUA MOOCA,Condomínio Atua Mooca,ZONA LESTE,ativo
b13a4ec0-ff9b-4fe5-a2fe-0493560b7aab,CONDOMÍNIO AVIS RARA,Condomínio Avis Rara,POSTOS DA GAP,inativo
98a55920-450e-4c84-b184-34650fd30bc3,CONDOMÍNIO BELLAGIO,Condomínio Bellagio,POSTOS DA GAP,inativo
c03db8ae-64ff-4d2c-b79b-c7a77e49b1fd,CONDOMÍNIO CASCAIS,Condominio Cascais,ZONA NORTE,ativo
316b6b5b-9b0d-41be-91c8-a452bdda4158,CONDOMÍNIO CINQUO,Condomínio Cínquo,ZONA OESTE,ativo
68fad595-d1e6-4c9c-b53a-18731b3a040c,CONDOMÍNIO CONTEMPORÂNEO JARDINS,CONDOMÍNIO CONTEMPORÂNEO JARDINS,ZONA OESTE,ativo
93ae11e5-1fae-42a3-a385-2948d5510160,CONDOMÍNIO COSMOPOLITAN,Condomínio Cosmopolitan,CENTRO,ativo
04fd1c61-b95d-42dd-910a-7622203a6f25,CONDOMÍNIO DOM PEDRO,Condominio Dom Pedro,ZONA LESTE,ativo
b8736909-67e4-409b-8565-b4638f040032,CONDOMÍNIO EDIFÍCIO GINZA,CONDOMÍNIO EDIFÍCIO GINZA,CENTRO,ativo
fe4e0f50-2bb9-49c5-90ef-6df040ed3909,CONDOMÍNIO EDIFÍCIO LUCIA,Lucia,ZONA SUL,ativo
42412724-e3ac-4e1e-b550-23f29a0c58f4,CONDOMÍNIO EDIFÍCIO PORTAL PARQUE DO PRÍNCIPE,PARQUE DOS PRINCIPE,ZONA SUL,inativo
60e136c6-e962-4316-8253-8d9a1c273881,CONDOMÍNIO EDIFÍCIO TABAPUÃ,Edificio Tabapuã,ZONA SUL,ativo
3b2cd609-0dfa-4421-92eb-a016e78630b0,CONDOMÍNIO EDIFÍCIO UNICO,Unico,ZONA SUL,ativo
b5ff91f6-48b7-4c30-8529-f98cc0881f87,CONDOMÍNIO EDIFÍCIO VILLAGE MORUMBI,CONDOMÍNIO EDIFÍCIO VILLAGE MORUMBI,ZONA SUL,ativo
8e73c9fd-5c59-4fd8-9a5a-c423c294f181,CONDOMÍNIO GBC,Condomínio GBC,ZONA OESTE,ativo
